scenario_id,intent_short,tone,model,generation_ok,metric1_fact_recall,metric2_tone_accuracy,metric3_structural_completeness,avg_score,m1_facts_recalled,m1_total_facts,m2_raw_score_1_10,m2_judge_reasoning,m3_components_found,subject_line,duration_ms,total_tokens,error
S10,Propose a strategic partnership to a potential business…,persuasive,llama-3.3-70b-versatile,True,100.0,80.0,100.0,93.3,4,4,8,"The email effectively conveys a persuasive tone by highlighting the benefits of the partnership, using a clear call-to-action, and framing the proposal in terms of mutual growth, but has minor lapses in fully minimizing friction in the ask.",5,Unlock Southeast Asia: Strategic Partnership Opportunity for Mutual Growth,7580.49,1862,
S01,Follow up after a sales discovery call to keep the deal…,formal,llama-3.1-8b-instant,True,100.0,90.0,80.0,90.0,4,4,9,"The email maintains a formal tone throughout, using professional vocabulary, structured sentences, and an executive-level register, with only minor potential for improvement in sentence complexity and variability.",4,Progress on Enterprise Plan — Follow-up on Discovery Call,1054.58,1757,
S02,Apologise to a client for missing the agreed project de…,empathetic,llama-3.1-8b-instant,True,100.0,90.0,100.0,96.7,4,4,9,"The email maintains a warm and apologetic tone, acknowledges the recipient's feelings, and takes personal ownership of the issue, with only minor lapses in formality that do not significantly detract from the overall empathetic tone.",5,"Missing the Mark, Making it Right, Sarah",1266.2,1867,
S03,Immediately alert the engineering team about a live pay…,urgent,llama-3.1-8b-instant,True,100.0,70.0,40.0,70.0,4,4,7,"The email maintains an urgent tone through direct language and time-sensitive information, but minor lapses occur due to slightly formal vocabulary and a polite request for acknowledgement, which slightly dilutes the urgency.",2,URGENT: Critical Payment Gateway Outage — Immediate Attention Required,2783.78,1769,
S04,Immediately alert the engineering team about a live pay…,urgent,llama-3.1-8b-instant,True,100.0,80.0,100.0,93.3,4,4,8,"The email effectively conveys a sense of urgency through direct language, imperative sentences, and time-sensitive information, but minor lapses, such as the polite closing and request for confirmation, slightly dilute the urgency tone.",5,URGENT: Live Payment Gateway Failure — Immediate Action Required,2041.3,1763,
S05,Pitch our AI-powered HR analytics tool to a potential e…,persuasive,llama-3.1-8b-instant,False,,,,,,,,,,,,,Exceeded maximum retries (3) for output validation
S06,Invite the team to our Friday end-of-sprint celebration…,casual,llama-3.1-8b-instant,True,75.0,90.0,80.0,81.7,3,4,9,"The email accurately reflects a casual tone through its use of friendly language, contractions, and relaxed structure, with only the closing 'Best' being a minor deviation from an otherwise perfectly casual tone.",4,Kick-Off the Weekend with Us - End-of-Sprint Celebration this Friday!,62948.47,2745,
S07,Request a one-on-one meeting with my manager to discuss…,formal,llama-3.1-8b-instant,True,50.0,90.0,80.0,73.3,2,4,9,"The email maintains a formal tone throughout, using professional vocabulary and structured sentences, with only minor potential for improvement in fully eliminating any slightly personal language.",4,Request for One-on-One Meeting: Career Development and Promotion Opportunities,14784.52,1721,
S08,SenSend a warm welcome email to a new client who just s…,casual,llama-3.1-8b-instant,True,100.0,90.0,80.0,90.0,4,4,9,"The email maintains a consistently casual tone through the use of friendly language, contractions, and a relaxed yet clear structure, with only minor elements that could be perceived as slightly formal.",4,Welcome to our crew! Let's get started!,29082.14,2141,
S08,Send a quarterly business update to our investors…,formal,llama-3.1-8b-instant,False,,,,,,,,,,,,,Exceeded maximum retries (3) for output validation
S09,Notify stakeholders about a data breach and required im…,urgent,llama-3.1-8b-instant,True,100.0,80.0,40.0,73.3,4,4,8,"The email effectively conveys a sense of urgency through direct language, imperative sentences, and time-sensitive information, but minor lapses in formality and a polite closing detract from a perfectly calibrated urgent tone.",2,URGENT: Data Breach Notification — Immediately Review and Act,42265.83,2505,
S10,Propose a strategic partnership to a potential business…,persuasive,llama-3.1-8b-instant,True,75.0,80.0,80.0,78.3,3,4,8,"The email effectively employs a persuasive tone by highlighting the benefits of the partnership, using a compelling hook, and framing the proposal with a clear ROI, but has minor lapses in maintaining a consistent level of enthusiasm and urgency throughout.",4,Unlock 2 Million Active Users: A Proposals for Strategic Partnership,14070.98,1832,
